NAME,Full Description
Amboss,"A breakthrough learning and knowledge system for medical students and physicians AMBOSS is a medical technology company with offices in New York, Berlin and Cologne. Its knowledge platform has fundamentally changed the way medical know-how is acquired and utilized at the point-of-care. Students use the interactive library and high-yield question bank for general study and exam preparation, while doctors rely on AMBOSS to make effective clinical decisions guided by evidence-based recommendations.  Founded in 2012 by doctors for doctors, the companyís international team has grown to over 200 physicians, scientists and software engineers, all striving to better serve doctors around the world. Today, more than half a million healthcare professionals in over 180 countries rely on AMBOSS."
Tentamus,"Global product testing and safety group Tentamus offers a network of highly specialized laboratories, all of which are equipped to ensure the quality and safety of the tested goods. Tentamus is active in product- and industry-specific knowledge centres, unifying the skills and know-how from each industry, which thereby enables us to provide our clients with the customer-oriented services through our global network."
Raisin,"Pan-European marketplace for savings Raisin is a savings and investment marketplace that connects retail customers with banks looking to expand deposit reach. The company's goal is to provide savers the best interest rates. The company gives access to exclusive savings products from all over Europe. Raisin assures a smooth investment process and the simple management of investments with all of the partner banks via one single platform. Raisin was founded on 2012 and is headquartered in Berlin, Germany. Raisin DS was formed by a merger of the FinTech companies Deposit Solutions and Raisin in June 2021."
AGRAVIS Technik Saltenbrock,"Empowering agriculture with top-quality products, expertise, and outstanding service"
McMakler,"Leading hybrid real estate agent in Germany McMakler is the leading hybrid real estate agent in Germany. The company combines state-of-the-art marketing technology and central processes at its headquarters in Berlin with a local team of almost 400 permanent real estate agents across Germany in all major regions. With a supported brand awareness of 33%, McMakler is today the best-known real estate agent in Germany and is characterised by its far above-average service quality."
team neusta,Providing it services
Audibene (hear.com),"Online Hearing Device Specialist audibene is the fastest growing hearing care company ever. Our mission is to provide cutting edge technology for hearing care devices and improve the lives of our customers. We started our journey in 2012 when our founders started thinking about the concept of digitalizing a very traditional industry. Today we are more than 1,400 people across the globe, in 11 offices from San Francisco to Seoul. Join us in working towards revolutionizing the hearing industry!"
Tourlane,"Creates next level travel experiences for guests ñ from safaris in the Serengeti to diving in the Galapagos Tourlane is a booking platform for multi-day tours, offering amazing experiences to over 30 countries worldwide. It creates adventures and authentic travel experiences to fabulous destinations in the world. The company combines the first-hand experience of a travel agency with the simplicity of an online product. Its apps bring travel consultancy to a state-of-the-art level of tech and design and thereby will shape the future of individual and adventure trips.  Its product matches travelers with pre-selected travel specialists, making the booking of individual and adventure trips comparable, fast, and easy."
HappyFresh,"The first and fastest-growing online grocery platform in Southeast Asia Southeast Asia's #1 Online Grocery Company & Asia's Best Company to Work For in 2019. Headquartered in Jakarta, Indonesia, we have expanded to Malaysia and Thailand and currently operate in many cities in the three countries since 2015. Grocery shopping can be difficult. Looking for a space to park your car, having to go through the isles to find your needs while pushing the trolley, waiting in line at the cashiers, and carrying the heavy bagsóthese are some activities that take a lot of time when you can spend it doing other things. Build to deliver a simplified life, our mission is to provide an easy grocery shopping experience with a high-quality service. With our trained personal shoppers, customers can shop from anywhere without having to worry about the freshness of their groceries. Every day, our team delivers the #FreshlyHandpicked groceries to thousands of doors to liberate lives!"
jobvalley,Driving the workforce revolution
Home24,"Wide variety of products in the Home and Furniture segment 
                    We empower people in creating happy homes. Learn about our company, browse and buy our products or discover our job opportunities.
                "
HeyJobs,"Career platform matching the world's essential talent to opportunities HeyJobs is a Talent Platform that helps employers find the right talents at a friction of the traditional cost per hire. It helps talents find jobs that enable them to live a fulfilling life. Through a combination of machine learning, automation and software, we have created >50'000 hires already."
Heycar UK,Search thousands of approved cars for sale from trusted dealers Heycar is a used car marketplace.
JOKR,"Global platform for instant grocery and retail delivery at a hyper-local scale Grocery shopping is easier now with JOKR, your instant delivery app. Order your groceries and favorite products in our online supermarket and get them instantly at your door. Download the app now and make your first grocery order on us. Available in IOs and Android. Access www.jokr.com for more info"
Clark,"CLARK has developed an application that makes it easier, simpler, and faster for consumers to manage their insurance - all in one central app"
Rocket Internet,"Incubates, builds and operationally develops internet-based business models"
MYTOYS GROUP,
Boxine,"Changing the way children listen to stories and music The CB Insights market intelligence platform analyzes data points on venture capital, startups, patents, partnerships and tech news. Learn more today."
Convention des Entreprises pour le Climat,The CEC Association exists to make the shift from the extractive economy to the regenerative economy irresistible before 2030
NUMA Group,"A hospitality startup that combines the luxury of boutique hotels with the homelike feel of AirBnB NUMA Group is a German technology provider in the short-term rental sector and driver of the new asset class Commercial Living. NUMA combined the comfort of a home with the standards of a hotel. NUMA develops new technology solutions for the real estate industry, focusing on hotels and apartment rentals. NUMA automates operational processes by up to 80 percent, enabling hotel operators to save up to 60 percent through restructuring. In addition, NUMA can drive up to 40 percent in additional topline revenue. In 2020, NUMA achieved 90 percent booking occupancy even during Corona-related lockdown."
Gropyus,Designs buildings as continuously evolving products to create the most exciting and affordable experience for all We design buildings as continuously evolving products to create the most exciting and affordable experience for all. We build for people and conserve the resources of our planet.
Time:matters Group,"time:matters is your expert for particularly urgent transports and complex shipping needs. time:matters Group is the expert for global Special Speed Logistics as well as time-critical international spare parts logistics. We transport your highly urgent spare parts, medical samples or important documents quickly and reliably from A to B ñ via air, rail, or road. In addition to speed and reliability, we are committed to customized and flexible service. Therefore, we are available 365 days a year, around the clock, to develop tailor-made, customized logistics solutions, ranging from ad-hoc cases to day-to-day business."
UBE Corporation Europe,A diversified manufacturer with a core focus on the chemicals sector
Moss,"Provider of custom trade show display components, tension fabric displays and structures Moss is a construction firm that provides construction management, general contracting, design-build and public-private partnerships services across the US."
Lamudi,Real estate platform serving the emerging markets
Hem,"Imaginative designs of obsessive quality - A design brand disrupting the furniture industry on a global scale chemeurope.com provides you with comprehensive information on analytics, chemistry, lab technology, chemical engineering, process engineering: from the latest news, through innovative products and services, to comprehensive technical information, the information portal compiles all the information you need on issues relating to the sector."
Spark Networks SE,"Leading global dating company with a widening portfolio of premium & freemium apps Spark Networks SE is a leading global dating company that specializes in premium brands designed for singles seeking serious relationships. The company‚Äôs portfolio of online dating brands includes EliteSingles, JDate, Christian Mingle, eDarling, JSwipe, SilverSingles, Attractive World, Adventist and LDS Singles, amongst others. Formed in 2017 through the merger of Affinitas GmbH (founded in 2008) and Spark Networks Inc. (founded in 1997), the company has a presence in 29 countries worldwide and supports 15 languages."
Bonial International Group,
Heycar,Leading digital platform for quality used car sales in Europe Heycar is a used car marketplace.
PlusServer,Managed Hosting & Cloud Market leader ?? PlusServer provides managed hosting solutions to data centers. Host Europe Solutions that began operation in 1999 became PlusServer in April 2015.  PlusServer has its headquarters in G¸tersloh in Germany. It operates as a former subsidiary of Host Europe.
Bonial International Group,Leading location based shopping platform worldwide based in France and Germany
Plentific (Formerly Plentify),"Guides in the process of buying a home Plentific empowers landlords and property managers to deliver more efficient repairs and maintenance services. Plentific is a purpose-driven technology business. Since 2013, the company works with trade professionals and their property partners to transform their processes and the communities they serve. The company's platform and the marketplace is currently in use by landlords and property managers across residential, commercial and social applications throughout the United Kingdom, United States and Germany.  Plentific was founded by Emre Kazan and Cem Savas to make it easy to find reliable trade services and manage property repairs and maintenance. The pair believed property management could and should be better - for local trades specialists, property managers and tenants."
Shop.com.mm,"Shopcommm | Premier Online Shopping Destination in Myanmar Shop MM - Best online shopping website in Myanmar (Burma) offering the best deals & discounts on latest Mobiles, Tablets, Appliances, Fashions, and much more. Cash on delivery (COD) on all items in Yangon, Mandalay, Naypyidaw, and across Myanmar (Burma) - Shop.com.mm"
EIGENSONNE,Offering high-quality photovoltaic systems for purchase or rent Mach Dich unabh‰ngig mit Photovoltaikanlagen von EIGENSONNE ?? die Solarprofis in Deiner N‰he ª deutschlandweit mit lokalen Teams verf¸gbar!
APPINIO,"Enables representative surveys of target group in just a few minutes Appinio empowers decision makers through real-time access to consumer opinions. As the worldís fastest market research solution, Appinio collects millions of answers globally from specific consumer groups - every day. We help over 1000+ global companies through our all-in-one survey platform to validate decisions in minutes and really put customer centricity into practice."
Visual Meta,"Incorporates products from thousands of online retailers under the brands LadenZeile and ShopAlike Ladenzeile is a German shopping portal. As a sort of shopping centre that offers ‚Äúall shops on one site‚Äù,Ladenzeile mainly focusses on the categories shoes, fashion, bags, jewelry and furniture."
Zenyum (HK) Ltd,"Bringing the highest level of care to customers by partnering with experienced local dentists across Asia Zenyum is the newest innovation in Smile Cosmetics. Zenyum believes everyone deserves a better smile so they channel tech and innovation to evolve the dental category and create products and experiences that spread smiles across Asia. Founded in 2018, the Singaporean start-up partners with hundreds of dentists to provide 3D-printed Invisible Braces and other dental products, produced under the highest quality standards."
Beat81,"Merging the best of mobile HIIT training, live heart rate monitoring and expert coaching & support to bring fitness and happiness to everyone's life BEAT81 is the most interactive, intelligent and intense group fitness experience on the market."
MyRealTrip,"Full service online travel platform with hotel reservations and flight bookings MyRealTrip is leading tours&activities marketplace in South Korea. MyRealTrip is the best free travel platform in Korea where you can book flights, accommodations, tours & tickets, and special offers. Starting with guided tour service in 2012, it has been growing rapidly since it successfully launched air service in 2018. MyRealTrip is constantly striving to provide travelers with a personalized experience and provide them with a more valuable experience."
iPrice,"Offering shoppers the widest selection of products and brands -  all made available on one shopping website IPrice was set up to offer shoppers the widest selection of products and brands, provided by hundreds of partners in Southeast Asia. The company is driven by a mission to bring a greater level of transparency, convenience, and trust to the e-commerce market in Southeast Asia by making it easy for shoppers to compare prices, discover products, and get the best deals from thousands of online shops.   With the help and funding of the Asia Venture Group ñ investments include iMoney, Trusted Company and Happy Fresh - iPrice quickly acquired international know-how, expertise and talent in fields ranging from technology over online marketing to the business side of things. Focused on execution from its headquarters in Kuala Lumpur, the company has quickly expanded across seven markets, including Indonesia, Vietnam, Singapore, Hong Kong, Thailand, and the Philippines."
Kinetik,"Kinetik is a midstream provider of gathering, compression, processing, transportation and water management services in the Permian Basin, dedicated to providing the best service and netback for customers"
Contorion,"Online marketplace for maintenance, repair and operations (MRO) products Contorion is an online store for industrial and trade supply. The extensive assortment covers a wide range of product categories, from screws to electrical and hand tools to work clothes of many renowned manufacturers. With high user-friendliness, a professional customer service and short delivery times Contorion would like to be the one-stop shop for business and private customers. The company was founded by Dr. Frederick Roehder, Richard Schwenke and Tobias Tschˆtsch in Berlin in the spring of 2014. More information on http://www.contorion.de/"
Parcel Perform,"Saas e-commerce logistics management platform to elevate customers' end-to-end e-commerce logistics experience! Parcel Perform is a carrier-independent delivery experience platform for e-commerce merchants and their customers. Passionate about data, the SaaS solution standardizes delivery information to bring transparency to logistics operations and enhances customer experience. With 700+ carriers covered worldwide, Parcel Perform is a global partner for merchants, carriers, and B2B businesses.   Tracking over 40 million parcels monthly, Parcel Perform is the leading provider for streamlined logistics data and helps businesses gain transparency on carrier performance, drive efficiency in customer service, and enable a better post-purchase experience. Clients enjoy branded tracking pages, delivery notifications in 30+ languages, and accurate Date of Arrival Predictions with Machine Learning technology. Parcel Perform is SG:D-accredited by IMDA under the Accreditation@SG Digital program and has offices in Singapore, Vietnam, and Europe, serving leading enterprise brands worldwide to help businesses improve their post-purchase customer experience, reduce customer service costs and optimize their logistics management."
Qimam Fellowship ?????? ???,"Summits is a program aimed at searching for, empowering and developing promising Saudi university students and students to achieve their professional aspirations"
Comtravo,"Partner for booking, managing, and invoicing business travel Comtravo is a travel and tourism company that specializes in travel management, business travel, and online booking. It features machine learning and software platforms that help SMEs to book, manage, and expense their business travel. The company was founded in 2015 and headquartered in Berlin, Germany."
Amparo Saude,A network of clinics and telemedicine partners with your health insurance and your company Simple adjustable prosthetics to empower amputees worldwide.
We Are Era,"Developing online video solutions for brands We Are Era is the first of its kind media company combining studios, a talent agency and reach under a single Europe-wide roof. The company is part of RTL Group and Bertelsmann since 2019. We Are Era's vision is to Craft the Zeitgeist in over a dozen European markets with 240 employees at offices in Amsterdam, Berlin, Cologne, Copenhagen, Paris, Madrid, Milan and Stockholm. Its productions and campaigns for broadcasters, brands and NGOs have already won multiple awards. We Are Era's stories deliver impact and attitude; they are developed and told by and for people all across Europe. Projects range from TV productions and fictional series to innovative formats on social media platforms such as TikTok, YouTube, Instagram and Twitch."
CarPrice,Russian used car sales done fast and efficiently
IGenetic Diagnostics,Comprehensive diagnostics laboratory covering the spectrum of pathology from routine tests like biochemistry and immunology
Profession.hu,"Leading Hungarian job portal Profession.hu, the leading jobs search portal."
PropertyScout (formerly Flexstay Rentals),"Building an end-to-end real estate transaction platform enabling a trusted renting, buying, and selling experience PropertyScout is building a real estate transaction platform enabling a trusted renting, buying, and selling experience.  Our mission is to enable consumers (tenants or buyers) to find the most suitable home at the best available price and help owners to earn more, effortlessly by employing the latest technologies and eliminating hassles involved in renting processes. Founded in 2019, we are venture-funded and now expanding quickly in Bangkok with plans to further expand across South East Asia."
Una Brands,"Provides a fast and fair way for e-commerce business owners to sell their companies Una Brands provides a fast and fair way for e-commerce business owners to sell their companies. The company uses significant growth capital to transform its e-commerce brand into a household name. Una's data analytics and AI platform will help automate and optimize their processes, giving them a competitive edge. Una Brands was founded in 2020 and is based in Singapore."
Alphabet GB Limited,Alphabet operates as a provider of business mobility solutions
Penta,Free online business bank account for startups and SMEs
krisenchat,24/7 psychological counseling via chat
SellAnyCar,Online used car exchange and auction site SellAnyCar.com - The Middle East's first online car buying service. Sell any car to us. Guaranteed purchase & payment within 30 minutes. www.sellanycar.com
Gaia,Gaia is a member-supported streaming video subscription service available in 185 countries around the world
Natsana,"Bringing together three of Germany's currently most successful and fastest-growing brands in the booming sector of nutritional supplements of natural origin under one roof Natsana vereint mit Nature Love, Feel Natural und natural elements drei der erfolgreichsten und wachstumsst‰rksten deutschen Marken im Bereich der Nahrungserg‰nzung unter einem Dach. Wir sind auf Amazon, im ausgew‰hlten Einzelhandel und in vielen Drogerien zuhause. Wir bauen auf einfach gute Produkte, frei von unnˆtigen Zus‰tzen und ohne viel Schnickschnack. So und nicht anders unterst¸tzen wir schon Millionen von Kunden dabei, bewusster zu leben."
Regiondo,"Marketplace for recreational activities Regiondo provides an online ticket shop where you can search from a comprehensive range of international offers from high quality providers and book tourist and leisure activities that best suit your interests. From open top bus sightseeing tours and amusement park family outings to high adrenalin sports and relaxing massages, there are no shortage of options to choose from their store. Regiondoís aim is to help their customers make the most of their free time and make spending holidays and participating in leisure activities hassle-free and more enjoyable than ever before. Whether you would like to explore and discover Paris on a boat tour, test drive a Ferrari in Berlin or indulge in a culinary Tapas feast in Barcelona, see what they have to offer and book your activity today! Regiondoís online shop has been designed so that the process of searching, selecting, ordering, paying and receiving your ticket for an activity is as straightforward as possible. Their E-Ticketing system means that after you pay, you will receive your ticket by email without any additional costs. Then all you have to do is print out your E-Ticket and present it at the admissions gate. There are no hidden charges when booking your activity and you will get the lowest price guarantee for offers. Booking with Regiondo also means that you can skip the line at your attraction and use that extra time to make the most of your dayís event."
Sastrify,"Helps finance and tech teams to optimize SaaS tools in digital-first companies Sastrify is a virtual Software-as-a-Service procurement service, helping finance and tech teams to optimize management and cost of SaaS tools in successful digital-first companies. We automate repetitive and annoying processes (e.g. setting renewal dates, reaching out to suppliers etc.) and use a dedicated procurement team that benefits from a large database of SaaS benchmarks to get you the best prices on the market. We typically bring our customers 3-4x ROI with only 20-30min work on their end."
Marta,Empowering families and caregivers through technology
Lendico,"Online marketplace for peer-to-peer loans Lendico is a multinational company that operates a peer-to-peer lending platform. The platform links lenders and borrowers.  Lendico was founded in December 2013 by the incubator and venture capitalist, Rocket Internet."
InstaFreight GmbH,"Leading LogTech company that uses technology for efficient & transparent execution of overland transports in Europe InstaFreight is a digital forwarding company for B2B customers, that enables fast and uncomplicated processing of freight transports. Their goal is to become Europe's leading B2B online freight forwarding company. They stand for reliability, quality, efficiency and transparency. By offering innovative solutions and providing first-class service, they reduce the complexity of the supply chain and ensure absolute transparency for their customers and carriers."
Kaia Health,"Creates evidence-based treatments for a range of disorders including musculoskeletal conditions and COPD Kaia Health is a digital therapeutics company that creates evidence-based treatments for a range of disorders including back pain and COPD. Working with experts in various medical fields, the company uses machine learning to deliver individualized app interventions that aim to empower and motivate patients to take control and self-manage their condition with digital alternatives from their home using devices they already own (i.e. smartphones and tablets). The company has enrolled more than 400,000 users to date in its digital therapy program. It was founded in 2016 and is headquartered in Brooklyn, New York."
Farmalisto,"First regional pure player Online Pharmacy and support services to pharmaceutical industry in LATAM operating in Mexico and Colombia Farmalisto is an online retailer that sells a range of products and services to its clients. The platformís range of products include haircare, dampeners, solar protection, healing, moisturizing, anti-aging, toothbrushes, toothpastes, mouth rinses, dental silks, dentures, protection, cereals, baby hygiene, baby milks, and diapers. Farmalisto was launched in 2013 by Jose Mora Hernandez, Stefan Krautwald, and Matthias Fehr and is based in Bogota and Mexico City. Websites: https://www.farmalisto.com.mx https://www.farmalisto.com.co"
Amorelie,Providing people with products and education to improve their sex lives Amorelie is a fashionable onlineshop for Lovelife.
Mendeley,"Global research collaboration and networking platform Mendeley (http://www.mendeley.com) is a global research collaboration and networking platform. Their apps help scientists organise, share, and discover new research. Since their launch in 2009, Mendeley has grown to more than 3 million users in 180 countries and institutional customers including Harvard, Stanford, and MIT. Their users collaborate in hundreds of thousands of groups and have collectively uploaded more than 500 million documents - creating one of the largest research databases in the world. This data, available via the Mendeley API (http://dev.mendeley.com), powers more than 200 exciting new third-party applications that are making science more social and open."
AlphaPet Ventures,AlphaPet Ventures is digitizing the pet market as platform and establishes healthy pet food in the mainstream via multichannel distribution (D2C & B2B) Alphapet Ventures GmbH retails pet food online through its websites www.hundeland.de and www.petspremium.de. Alphapet Ventures GmbH was formerly known as ePetWorld GmbH and pets Premium GbmH and changed its name to Alphapet Ventures GmbH in May 2016.
Movinga,"Online relocation and removals service Movinga is a vertically integrated logistics tech company for customers and medium-sized moving companies. As a professional full service provider, it offers logistically optimized moves for private individuals and companies, goods transports, and courier services."
Alando.de,"Alando.de is an E-Commerce company, sold to ebay in 1999"
LUEG AG,
SprintEins,"Agile software development, tailor-made solutions"
ZenRooms,A budget hotel chain that encourages affordable travel experiences
Esanum,Esanum is an online community for medical doctors with medical news and information
YEGO,BUILDING THE FUTURE OF MOBILITY TOGETHER!
PowerUs,Leading digital career platform empowering technical blue-collar workers to enhance their careers PowerUs is a digital career platform for technical blue-collar workers to empower them in their careers and help them find better jobs.
Nebenan,"Online marketplace connecting neighbours Nebenan.de offers neighbors a useful and secure platform for building and maintaining neighborly relations. Nebenan.de is a social network intended for neighbors with over 800,000 users in more than 6,000 neighborhoods. The aim of the platform is to build functioning relationships between people from the surrounding area."
Share,Allows consumers to donate one product for every product purchased
