Company name Latin alphabet,NACE Rev. 2 main section,NACE_Section,Founded_Year,Company_Age,Status,Number of employees 2024,Number of employees 2023,Number of employees 2022,Number of employees 2021,Number of employees 2020,Number of employees 2019,Emp_Growth,max_employees,Scaler 2024,Scaler 2023,Gazelle 2024,Gazelle 2023,HighGrowthFirm 2024,aagr 2024,Legal_Form,B2B_or_B2C,Industry,Company_Description,Key_Activities,Scaler_2024,Gazelle_2024
ESPABAU EISENBAHN SPAR- UND BAUVEREIN BREMEN EG,L - Real estate activities,L,1893,131,Active,53,58.0,57.0,57,55.0,60.0,-0.11666666666666667,60.0,0,0.0,0.0,0.0,0,-2.39613745482099,Other,B2C,Real estate,"ESPABAU Eisenbahn Spar- und Bauverein Bremen eG provides real estate services. The Company builds and manages condominiums, town houses, and semi-detached houses.","The company provides real estate services, specifically building and managing condominiums, town houses, and semi-detached houses.",0,0
MONACOR INTERNATIONAL GMBH & CO. KOMMANDITGESELLSCHAFT,C - Manufacturing,C,1966,58,Active,128,115.0,144.0,34,,,,144.0,1,,0.0,,1,55.56444749312812,GmbH & Co. KG,B2B,Not found,"Monacor International GmbH & Co. KG, established in Bremen, Germany in 1965, is a manufacturer of PA technology, used in various industries to provide amplified audio and communication to a large audience.","Their product portfolio includes amplifiers, 100-volt or active loudspeakers, Mixers and players.",1,0
BREPARK GMBH,H - Transportation and storage,H,1957,67,Active,56,52.0,52.0,52,53.0,55.0,0.01818181818181818,57.0,0,0.0,0.0,0.0,0,2.501029596576787,GmbH,Both,Other business support service activities n.e.c.,BREPARK GmbH is a municipal company with a long tradition. The company was founded in 1957 with the aim of eliminating the shortage of parking in Bremen's inner city.,"The company provides parking space in Bremen, operating multi-storey car parks and car parks.",0,0
WENDT UND BUESCHENFELD DACHBAUSTOFFE GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1958,66,Active,22,22.0,22.0,22,20.0,19.0,0.15789473684210525,22.0,0,0.0,0.0,0.0,0,0.0,GmbH,B2B,Construction and building materials,"Wendt & Büschenfeld Dachbaustoffe GmbH is a company based in Bremen, Germany, that trades in roofing materials and sells materials for the construction industry and related sectors.","The company offers a range of products including roofing materials, Velux windows, plastic profiles, and accessories for roofers and construction professionals.",0,0
MAX MUELLER GMBH & CO. KG,N - Administrative and support service activities,N,1932,92,Active,67,53.0,59.0,65,56.0,53.0,0.2641509433962264,67.0,0,0.0,0.0,0.0,0,1.015297841923624,KG,B2B,Not found,Max Mueller GmbH & Co. KG was founded in 1924. The Company's line of business includes providing general contracting services such as constructing heavy construction projects.,"The company provides general contracting services for heavy construction projects. They also offer complex printing and scanning solutions, modern presentation and conference technology, and professional services.",0,0
ATERMANN KOENIG & PAVENSTEDT GMBH & CO. KG,K - Financial and insurance activities,K,1874,150,Active,56,54.0,53.0,61,64.0,48.0,0.16666666666666666,64.0,0,0.0,0.0,0.0,0,-2.810488929912269,GmbH & Co. KG,Both,"Activities of head offices (7010), Sonstige Verwaltung und Führung von Unternehmen und Betrieben (70109), Insurance brokers, general","Atermann König & Pavenstedt GmbH & Co. KG is an innovative insurance broker based in Bremen, Germany, specializing in customized solutions.","Insurance brokerage services, risk management, and analysis for businesses and individuals.",0,0
ERNST BOETTGER GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1951,73,Active,35,26.0,36.0,16,16.0,18.0,0.9444444444444444,36.0,1,1.0,0.0,0.0,1,29.81235254627761,GmbH,B2B,Wholesale of other machinery and equipment (4669),Ernst Boettger GmbH was founded in 1951 in Bremen as a trading house for electrical engineering and has been active in the wholesale kitchen trade since then.,"The trade in electrical appliances and furnishings, in particular the trade in commercial kitchen equipment, as well as their planning. Wholesale of other machinery and equipment.",1,0
JONNY HILKER GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1957,67,Active,36,36.0,35.0,34,37.0,,,37.0,0,0.0,0.0,0.0,0,1.923546753119321,GmbH,B2C,"Automobile Dealers, Retail","Family-owned car dealership specializing in the sale and service of Audi, Volkswagen, and Volkswagen Nutzfahrzeuge.","Sale and service of Audi, Volkswagen, and Volkswagen Nutzfahrzeuge",0,0
HANS PETER MEYER GMBH,F - Construction,F,1966,58,Active,67,88.0,87.0,86,,,,88.0,0,,0.0,,0,-7.984967506729368,GmbH,B2B,Other construction installation (4329),One of the largest and most respected construction companies,"Other construction installation (4329), Painting and glazing (4334), Maler- und Lackierergewerbe (43341)",0,0
V. OHLEN UND LANGE GMBH & CO. KOMMANDITGESELLSCHAFT,H - Transportation and storage,H,1961,63,Active,16,18.0,21.0,18,23.0,24.0,-0.3333333333333333,24.0,0,0.0,0.0,0.0,0,-3.850028646172776,GmbH & Co. KG,B2B,Not found,"A medium-sized company based in Bremen, Germany.",Not found,0,0
BECKMANN'S BAECKERLAND GMBH & CO. KG,C - Manufacturing,C,1965,59,Active,54,54.0,54.0,58,56.0,,,64.0,0,0.0,0.0,0.0,0,-2.353820578699717,GmbH & Co. KG,B2C,Herstellung von Backwaren (ohne Dauerbackwaren) (10710),"BECKMANN'S BAECKERLAND GMBH & CO. KG is a company based in Bremen, Germany, operating in the bakery industry.",Manufacture of bread; manufacture of fresh pastry goods and cakes,0,0
BRAUEREI BECK & CO. GMBH,C - Manufacturing,C,1873,151,Active,800,800.0,660.0,660,660.0,,,800.0,0,0.0,0.0,0.0,0,6.622456426143497,GmbH,B2B,0,"Brauerei Beck & Co. GmbH is a brewery in Bremen, Germany, producing and distributing beer and other beverages.","Commercial transactions of all kinds, in particular the production and distribution of beer and other beverages, including forwarding transactions.",0,0
LUG AIRCARGO HANDLING GMBH,H - Transportation and storage,H,1966,58,Active,470,470.0,477.0,467,406.0,428.0,0.09813084112149532,477.0,0,0.0,0.0,0.0,0,0.2136758633707991,GmbH,B2B,Air Transport,LUG aircargo handling GmbH was founded in 1966 as part of the Dettmer Group and offers a range of services when it comes to handling aircargo.,"transshipment, storage and handling of goods of all kinds, in particular air freight, as well as the provision of ground handling services at airports",0,0
WWB WESER-WOHNBAU HOLDING GMBH & CO. KG,F - Construction,F,1969,55,Active,5,4.0,18.0,23,24.0,,,24.0,0,0.0,0.0,0.0,0,-39.87145113355659,GmbH & Co. KG,B2B,Development of building projects,WWB Weser-Wohnbau Holding GmbH & Co. KG is a leading project and property development company in the Free Hanseatic City of Bremen.,"Development of building projects, residential construction projects, and property development",0,0
CREDITREFORM BREMEN DAHLKE KG,N - Administrative and support service activities,N,1891,133,Active,70,70.0,71.0,71,71.0,,,71.0,0,0.0,0.0,0.0,0,-0.4717051267716155,KG,B2B,Not found,Creditreform Bremen Dahlke KG provides business information and debt collection services.,"business information, credit management services, debt collection",0,0
CARL ED. SCHUENEMANN K.G.,J - Information and communication,J,1810,214,Active,44,44.0,44.0,44,,,,44.0,0,,0.0,,0,0.0,KG,B2B,Verlag,"Carl Ed. Schünemann K.G. is a publishing company based in Bremen, Germany.","The company publishes high-quality books with a regional focus on Bremen, Hamburg, and northern Germany, as well as language magazines and journals.",0,0
KOMMANDITGESELLSCHAFT ARTHUR BEHRENS ELEKTRONISCHE BAUTEILE GMBH & CO.,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1898,126,Active,11,11.0,11.0,11,9.0,,,11.0,0,,0.0,,0,0.0,GmbH & Co. KG,B2B,Not found,"Arthur Behrens GmbH & Co. KG is an electronic components company based in Bremen, Germany.","The company specializes in electronic components, specifically electrolytic capacitors, power capacitors, supercapacitors, and other products for power electronics.",0,0
"KONDITOREI KNIGGE, EMIL KNIGGE OHG",I - Accommodation and food service activities,I,1949,75,Active,70,70.0,70.0,72,,,,72.0,0,,0.0,,0,-0.9346341206145081,Other,B2C,Not found,"A family-owned pastry shop in Bremen, operating since 1889.","Bakery, confectionery, and retail of baked goods, cakes, chocolates, and chocolate truffles.",0,0
"BERNHARD SIEMS GMBH, ZIMMEREI UND GERUESTBAU",F - Construction,F,1925,99,Active,21,22.0,23.0,23,22.0,22.0,-0.045454545454545456,23.0,0,0.0,0.0,0.0,0,-2.986876814993589,GmbH,Both,"Zimmerei und Ingenieurholzbau (43912), Gerüstbau (43991)","Bernhard Siems GmbH provides reliable craftsmanship in scaffold construction, carpentry and drywall construction for private and commercial customers since 1925.","Carpentry, scaffold construction, drywall construction and acoustics",0,0
ROESCHMANN GMBH MALEREIBETRIEB,F - Construction,F,1891,133,Active,15,19.0,19.0,17,17.0,16.0,-0.0625,19.0,0,0.0,0.0,0.0,0,-4.086270313974749,GmbH,B2B,"Maler, Baugewerbe",The company executes painting work as well as all transactions directly related thereto.,"Malerarbeiten, painting work, Sanierung, Wandgestaltung",0,0
JUGENDGEMEINSCHAFTSWERK EINGETRAGENER VEREIN,Q - Human health and social work activities,Q,1959,65,Active,140,140.0,140.0,140,140.0,140.0,0.0,140.0,0,0.0,0.0,0.0,0,0.0,e.V.,B2B,Soziale Dienste,"Das Jugendgemeinschaftswerk e.V. bietet Leistungen für Menschen mit komplexen Beeinträchtigungen an, die überwiegend über Entgelte der Eingliederungshilfe vom Land Bremen finanziert werden.","Leistungen für beeinträchtigte Menschen, insbesondere in den Bereichen Heilerziehungspflege und soziale Integration",0,0
MUNTE GMBH & CO. KG,I - Accommodation and food service activities,I,1915,109,Active,112,113.0,102.0,96,109.0,116.0,-0.034482758620689655,116.0,0,0.0,0.0,0.0,0,5.272659960939663,GmbH & Co. KG,B2C,Traveler Accommodation,"Munte GmbH & Co. KG is a hotel company based in Bremen, Germany. The company operates a 4-star superior hotel called MUNTE Wellnesshotel am Stadtwald, which is located near the city park of Bremen.","The company's core product offering is a hotel with wellness facilities, restaurants, and conference services.",0,0
PLANUNGXGRUPPE ARCHITEKTEN GENERALPLANER GMBH & CO. KG,"M - Professional, scientific and technical activities",M,1957,67,Active,60,60.0,60.0,55,55.0,,,60.0,0,0.0,0.0,0.0,0,2.942849840017869,GmbH & Co. KG,B2B,Architektur,"PLANUNGXGRUPPE ARCHITEKTEN GENERALPLANER GMBH & CO. KG is an architectural and planning company based in Bremen, Germany.",The company provides architectural and general planning services for various types of buildings.,0,0
HVG GMBH & CO. KG,L - Real estate activities,L,1962,62,Active,12,11.0,11.0,13,13.0,14.0,-0.14285714285714285,14.0,0,0.0,0.0,0.0,0,-2.632811183256167,GmbH & Co. KG,B2B,Hop processing and marketing,"HVG GMBH & CO. KG is a company based in Bremen, Germany. The company's core task is to market hops from growers directly to the brewing industry worldwide.","The company is involved in the marketing and processing of hops, supplying the brewing industry with hop products.",0,0
ATTITUDE LIFESTYLE OHG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1953,71,Active,20,20.0,20.0,20,,,,20.0,0,,0.0,,0,0.0,Other,B2C,"Sporting Goods, Hobby, and Musical Instrument Retailers","Attitude Lifestyle OHG is located at Ostertorsteinweg 95, 28203, Bremen, Bremen, Germany. The company operates in the industry of Sporting Goods, Hobby, and Musical Instrument Retailers.","The company sells clothing and accessories, and appears to specialize in skate-related products.",0,0
TERMINIC GMBH,C - Manufacturing,C,1927,97,Active,84,75.0,80.0,75,77.0,79.0,0.06329113924050633,84.0,0,0.0,0.0,0.0,0,3.849882037022079,GmbH,B2B,Kalenderhersteller,"terminic GmbH is a German calendar manufacturer based in Bremen, founded in 1927 as a printing company.","The company produces high-quality calendars, including 3-month calendars, desk calendars, and wall calendars with individual company advertising.",0,0
OERLIKON FRICTION SYSTEMS (GERMANY) GMBH,C - Manufacturing,C,1956,68,Active,105,105.0,105.0,105,105.0,,,105.0,0,0.0,0.0,0.0,0,0.0,GmbH,B2B,Not found,Oerlikon Friction Systems is the preferred technology partner for the global automotive industry and setting standards in the development and manufacture of high-performance transmission synchronizers and EV battery heat shields.,"Surface treatment and manufacture of machine parts of all kinds, the construction and sale of the corresponding devices. Oerlikon Friction Systems offers high-performance transmission synchronizers and EV battery heat shields.",0,0
BOEHMERT & BOEHMERT ANWALTSPARTNERSCHAFT MBB - PATENTANWAELTE RECHTSANWAELTE,"M - Professional, scientific and technical activities",M,1930,94,Active,250,250.0,250.0,250,,,,250.0,0,,0.0,,0,0.0,Other,B2B,Intellectual Property,"BOEHMERT & BOEHMERT is a leading IP firm offering expert advice on patents, trade marks, designs and protection strategies.","expert advice on patents, trade marks, designs and protection strategies",0,0
GG-SYSTEMHAUS GMBH & CO. KOMMANDITGESELLSCHAFT,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1966,58,Active,21,21.0,18.0,19,17.0,21.0,0.0,21.0,0,0.0,0.0,0.0,0,3.39238763784051,GmbH & Co. KG,B2B,Electro/Elektronik,"GG-Systemhaus delivers office technology, office furnishings and software solutions for modern work environments.","Office technology, office furnishings, software solutions, printing and copying solutions",0,0
ROBERT C. SPIES KG,L - Real estate activities,L,1949,75,Active,34,35.0,35.0,35,,,,35.0,0,,0.0,,0,-0.9615980212059005,KG,B2B,Real estate agencies,"Robert C. Spies KG is a company based in Bremen, Germany, founded in 1919, operating as a provider of brokerage services for residential, commercial, investment, and new construction properties.","Comprehensive advice in connection with commercial real estate, in particular in the sectors of logistics, brokerage services for residential, commercial, investment, and new construction properties.",0,0
BUESING MUEFFELMANN & THEYE RECHTSANWAELTE IN PARTNERSCHAFT MBB,"M - Professional, scientific and technical activities",M,1960,64,In liquidation,110,110.0,110.0,110,,,,110.0,0,,0.0,,0,0.0,,,,,,0,0
FARGE-VEGESACKER EISENBAHN-GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,H - Transportation and storage,H,1899,125,Active,19,19.0,19.0,19,21.0,21.0,-0.09523809523809523,21.0,0,0.0,0.0,0.0,0,0.0,GmbH,B2B,Railway infrastructure,Farge-Vegesacker Eisenbahn-GmbH is part of the RDC Deutschland group and operates as a railway infrastructure company for the Bremen-Vegesack northwest to Farge line.,"Railway infrastructure operations, including operating and managing a freight and passenger railway line over 10.4 km between Bremen-Vegesack and Farge.",0,0
OHB SYSTEM AG,"M - Professional, scientific and technical activities",M,1958,66,Active,1200,1200.0,1200.0,1200,1200.0,,,1200.0,0,0.0,0.0,0.0,0,0.0,Other,Both,"space systems, aerospace","OHB System AG is a subsidiary of OHB SE headquartered in Bremen, Germany, and one of the leading space system providers in Europe.","Develops and integrates small satellites for navigation, Earth observation, telecommunications, and scientific research; production and integration of systems for space, telecommunications, and environmental protection.",0,0
SCHMIDT + KOCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1948,76,Active,235,235.0,234.0,234,96.0,,,235.0,0,1.0,0.0,0.0,0,0.142247702418441,GmbH,B2C,"Auto dealers, automotive services","A German automotive dealership and service company active since 1926 in Bremen, operating as Volkswagen and Audi centers.","Sale of new and used cars (Volkswagen, Audi, koda); vehicle repair, maintenance, and service.",0,0
KLEINE WOLKE TEXTILGESELLSCHAFT MBH & CO. KG,C - Manufacturing,C,1937,87,Active,120,120.0,125.0,140,130.0,,,140.0,0,0.0,0.0,0.0,0,-5.008574840700353,KG,Not found,Textiles,"Kleine Wolke Textilgesellschaft mbH & Co. KG is a company founded in 1968 in Bremen, known for high?quality bathroom textiles and bedroom accessories, operating both a consumer online shop and supplying trade partners.","Bad teppiche, Badteppiche, Frottierwaren, Duschvorhänge, Duschrodellos, Sicherheitseinlagen, Bettwäsche, and shower curtains.",0,0
RUDOLF P. KUSCHKA TECHNISCHER GROSSHANDEL E.K.,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1947,77,Active,7,7.0,9.0,11,,,,11.0,0,,0.0,,0,-13.98613724627818,Other,Not found,Groß- und Einzelhandel mit technischem Industriebedarf,"Rudolf P. Kuschka Technischer Großhandel e.K. is a trading company in Bremen, Germany.","Gross- and retail trade with technical industrial supplies, tools and machines, workplace safety (Arbeitsschutz).",0,0
ACMOS CHEMIE KG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1963,61,Active,135,120.0,120.0,120,,,,135.0,0,,0.0,,0,4.004191152595205,KG,Not found,Manufacturer/Supplier of release agents and process auxiliaries,"ACMOS is a leading manufacturer of release agents and process auxiliaries headquartered in Bremen, Germany.","The company develops and manufactures release agents, special coatings, and cleaning agents as well as supplies barrier-layer products for industrial applications.",0,0
EISENFUEHR SPEISER PATENTANWAELTE RECHTSANWAELTE PARTGMBB,"M - Professional, scientific and technical activities",M,1966,58,Active,287,275.0,285.0,280,,,,287.0,0,,0.0,,0,0.8264837609052167,Other,Not found,law,Eisenführ Speiser is a German law firm that provides legal and technical consulting services for intellectual property protection.,"Counseling and representation in all fields of intellectual property law, including patent prosecution and related legal matters.",0,0
WILHELM GRESS GMBH & CO. KG,N - Administrative and support service activities,N,1945,79,Active,14,14.0,14.0,13,14.0,14.0,0.0,16.0,0,0.0,0.0,0.0,0,2.501029596576787,GmbH & Co. KG,B2B,Construction Equipment,Wilhelm Gress GmbH & Co. KG is a Bremen-based company operating in construction machinery and equipment. It rents and sells construction machinery and tools and has a long-standing history in the region.,Rentals and sales of construction machinery and tools,0,0
"S3 SASSE + SASSE GMBH, BERATENDE INGENIEURE + ARCHITEKTEN","M - Professional, scientific and technical activities",M,1960,64,Active,53,52.0,48.0,42,42.0,44.0,0.20454545454545456,53.0,0,0.0,0.0,0.0,0,8.062628338793342,Other,Not found,Architekten und Beratende Ingenieure,S3 Sasse + Sasse Bremen is an architets and consulting engineers firm.,"Architekten und Beratende Ingenieure, Objektplanung, Generalplanung, Tragwerksplanung, Projektsteuerung, Sachverständigenwesen",0,0
IPSEN INDUSTRIAL PACKING GMBH & CO. KG,C - Manufacturing,C,1881,143,Active,56,50.0,47.0,47,,,,56.0,0,,0.0,,0,6.014041147633864,GmbH & Co. KG,Not found,Logistic Services,"IPSEN INDUSTRIAL PACKING GmbH & Co. KG, based in Bremen, is a merger of Heinrich Schäding and Distri Warehouse Bremen and offers packing services.","Export and specialized packing services; dismantling, packaging, transport, and assembly; tailor-made and space-saving packing solutions based on international standards.",0,0
BEYOND GLOBAL GERMANY GMBH,"M - Professional, scientific and technical activities",M,1947,77,Active,25,28.0,33.0,33,32.0,35.0,-0.2857142857142857,39.0,0,0.0,0.0,0.0,0,-8.839082067855198,Other,B2B,Advertising and communication services,"beyond global Germany GmbH is an agency for B2B marketing based in Bremen, Germany.","Branding, strategy, design, and digital marketing.",0,0
ARBEITER-SAMARITER-BUND LANDESVERBAND BREMEN E.V.,Q - Human health and social work activities,Q,1970,54,Active,1500,,,1500,1500.0,,,1500.0,0,,,,0,0.0,Other,B2C,Social welfare,"The Arbeiter-Samariter-Bund Landesverband Bremen e.V. (ASB) is a charitable welfare association that offers social services, including support for refugees and emergency assistance in Bremen.","Support for refugees, emergency aid, first aid training, healthcare and social services for vulnerable people",0,0
SP SPEZIALITAETEN-PARTNER NORD AKTIENGESELLSCHAFT,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1964,60,Active,30,30.0,28.0,28,29.0,32.0,-0.0625,33.0,0,0.0,0.0,0.0,0,2.326410809381319,AG,B2B,Handel und Vertrieb von internationalen Wurstspezialitäten und Schinkenspezialitäten,SP Spezialitäten-Partner Nord AG is headquartered in Bremen and specializes in the distribution of high-quality international meat and deli specialties.,"Exclusive fine foods and meat specialties, including sausages (Rohwurst, Kochwurst), bacon products (Rohschinken, Kochpökelwaren), and vegetarian products (Veggi).",0,0
FRIEDRICH SEEMANN KG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1929,95,Active,20,21.0,25.0,22,,,,25.0,0,,0.0,,0,-3.127069384853576,KG,B2B,Not found,"Friedrich Seemann KG, located in Bremen, Germany, is renowned for its exceptional customer service and high-quality paint products.","The company specializes in paint products and offers optimal color composition, classical painting work, and modern wiping and spatula techniques.",0,0
HEINRICH BEHRENS PUMPENFABRIK GMBH & CO.,C - Manufacturing,C,1949,75,Active,48,51.0,48.0,48,51.0,51.0,-0.058823529411764705,54.0,0,0.0,0.0,0.0,0,0.0,GmbH & Co. KG,B2B,Manufacture of other special-purpose machinery,Heinrich Behrens Pumpenfabrik GmbH & Co. manufactures pumps and pumping equipment.,"The Company offers cooling water and general service pumps, with ballast and fire pumps, and other related pumps.",0,0
AUTOHAUS NEUSTADT SCHMIDT + KOCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1962,62,Active,64,64.0,64.0,64,68.0,,,68.0,0,0.0,0.0,0.0,0,0.0,GmbH,B2C,Automotive,"Autohaus Neustadt Schmidt + Koch GmbH is a company based in Bremen, Germany, operating in the automotive industry.","The company offers a range of new and used cars from brands such as Volkswagen, koda, and Ford. They provide services including maintenance and inspections for Volkswagen vehicles.",0,0
"GOEKEN, POLLAK UND PARTNER TREUHANDGESELLSCHAFT MBH WIRTSCHAFTSPRUEFUNGSGESELLSCHAFT/STEUERBERATUNGSGESELLSCHAFT","M - Professional, scientific and technical activities",M,1892,132,Active,72,49.0,49.0,49,49.0,49.0,0.46938775510204084,72.0,1,0.0,0.0,0.0,0,13.68734879703977,GmbH,B2B,Accounting & Tax,"Göken, Pollak & Partner (GPP) ist eine überregional tätige Wirtschaftsprüfungs- und Steuerberatungsgesellschaft mit über 100 Mitarbeitenden.","Wirtschaftsprüfung, betriebswirtschaftliche Beratung, Steuerberatung",1,0
